,type,Points,Name,url_fix,Name_clean,dob,weight,height,oneday,GC,TT,sprint,climber,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
83,Unclassified,6,Christian Scaroni,,Christian-Scaroni,25,63,1.75,231,231,3,20,360,69,148,66,10,20,40,,,,,,,,,,,,,,,,
84,Unclassified,6,Toms Skujiņš,,Toms-Skujins,31,70,1.78,1622,1622,254,695,1193,79,392,337,137,420,549,175,119,170,68,154,21,67,124,,,,,,,,
85,Unclassified,6,Jake Stewart,,Jake-Stewart,23,66,1.79,396,396,28,179,339,33,379,282,120,29,21,,,,,,,,,,,,,,,,
86,Unclassified,6,Ben Swift,,Ben-Swift,35,69,1.79,1848,1848,87,2754,1640,37,112,108,236,209,48,400,621,357,745,141,415,516,204,283,83,39,,,,,
87,Unclassified,6,Natnael Tesfatsion,,Natnael-Tesfatsion,23,60,1.75,331,331,5,192,696,176,455,121,234,28,37,,,,,,,,,,,,,,,,
88,Unclassified,6,Alessandro Tonelli,,Alessandro-Tonelli,30,64,1.76,179,179,8,80,254,85,116,27,36,10,92,5,32,5,,4,4,,,,,,,,,,
89,Unclassified,6,Simone Velasco,,Simone-Velasco,27,59,1.70,1035,1035,12,117,942,91,206,343,105,407,194,43,22,62,10,,,,,,,,,,,,
90,Unclassified,6,Louis Vervaeke,,Louis-Vervaeke,29,68,1.81,318,318,173,28,422,90,78,112,102,40,43,118,111,27,96,25,,,,,,,,,,,
91,Unclassified,6,Edoardo Zambanini,,Edoardo-Zambanini,22,62,1.80,93,93,0,29,186,12,183,11,1,,,,,,,,,,,,,,,,,,
92,Unclassified,6, Filippo Zana,,Filippo-Zana,24,65,1.85,161,161,1,13,442,51,335,290,34,52,4,,,,,,,,,,,,,,,,
93,Unclassified,4, Yukiya Arashiro,,Yukiya-Arashiro,38,64,1.70,1369,1369,142,1118,628,5,92,85,54,61,189,172,206,212,155,189,249,284,301,179,203,151,80,2,,,
94,Unclassified,4,Davide Bais,,Davide-Bais,25,66,1.85,67,67,22,8,85,8,100,10,3,20,3,,,,,,,,,,,,,,,,
95,Unclassified,4,Mattia Bais,,Mattia-Bais,26,66,1.75,118,118,20,72,151,10,50,85,34,82,20,7,,,,,,,,,,,,,,,
96,Unclassified,4,Will Barta,https://www.procyclingstats.com/rider/william-barta,Will-Barta,27,61,1.80,44,44,505,16,242,124,62,15,144,33,34,9,,3,,,,,,,,,,,,,
97,Unclassified,4,Alex Baudin,,Alex-Baudin,21,66,1.83,44,44,29,4,64,38,73,,,,,,,,,,,,,,,,,,,,
98,Unclassified,4,Cesare Benedetti,,Cesare-Benedetti,35,63,1.70,396,396,1,198,354,5,66,95,46,169,120,71,123,79,102,37,71,51,,20,,7,,,,,
99,Unclassified,4,Sebastian Berwick,,Sebastian-Berwick,23,59,1.75,16,16,5,7,136,55,63,26,89,25,,,,,,,,,,,,,,,,,
100,Unclassified,4,François Bidard,,Francois-Bidard,31,65,1.80,95,95,6,30,332,5,11,12,27,172,106,58,36,15,15,3,,,,,,,,,,,
101,Unclassified,4,Maxime Bouet ,,Maxime-Bouet,36,67,1.84,727,727,397,732,1122,,140,124,9,30,91,211,155,195,147,346,278,246,316,369,61,11,,,,,
102,Unclassified,4,Thomas Champion,,Thomas-Champion,23,70,1.93,20,20,16,0,27,5,35,30,17,,,,,,,,,,,,,,,,,,
103,Unclassified,4,Valerio Conti,,Valerio-Conti,30,61,1.72,533,533,258,122,1144,25,15,130,130,393,181,241,165,131,223,9,,,,,,,,,,,
104,Unclassified,4,Alexandre Delettre,,Alexandre-Delettre,25,62,1.70,130,130,0,1,83,10,47,111,,35,,,,,,,,,,,,,,,,,
105,Unclassified,4,Nico Denz,,Nico-Denz,29,71,1.83,385,385,246,184,325,33,90,75,173,117,267,25,61,14,,,,,,,,,,,,,
106,Unclassified,4,Erik Fetter,,Erik-Fetter,23,70,1.90,89,89,106,7,92,10,127,55,4,8,,,,,,,,,,,,,,,,,
107,Unclassified,4,Marco Frigo,,Marco-Frigo,23,65,1.88,20,20,6,4,90,12,29,13,7,10,,,,,,,,,,,,,,,,,
108,Unclassified,4,Stefano Gandin,,Stefano-Gandin,27,69,1.85,30,30,1,91,45,5,30,20,,25,,,,,,,,,,,,,,,,,
109,Unclassified,4,Derek Gee,,Derek-Gee,25,76,1.89,33,33,160,32,6,35,45,9,,,,2,,,,,,,,,,,,,,,
110,Unclassified,4,Amanuel Ghebreigzabhier,,Amanuel-Ghebreigzabhier,28,68,1.87,390,390,170,288,561,105,52,97,70,202,295,87,64,57,62,,,,,,,,,,,,
111,Unclassified,4,Daan Hoole,,Daan-Hoole,24,82,1.98,128,128,256,34,40,26,88,77,19,4,6,,,,,,,,,,,,,,,,
112,Unclassified,4,Laurens Huys,,Laurens-Huys,24,61,1.62,70,70,4,14,184,18,101,64,50,,30,5,,,,,,,,,,,,,,,
113,Unclassified,4,Jonas Iversby Hvideberg,,Jonas-Iversby-Hvideberg,,,,,,,,,,31,57,38,7,4,,,,,,,,,,,,,,,,
114,Unclassified,4,Alessandro Iacchi,,Alessandro-Iacchi,23,59,1.70,8,8,0,7,15,,45,,,,,,,,,,,,,,,,,,,,
115,Unclassified,4,Alex Kirsch,,Alex-Kirsch,30,78,1.94,443,443,543,430,310,29,93,54,80,88,165,191,143,11,38,30,5,4,,,,,,,,,
116,Unclassified,4,Ignatas Konovalovas,,Ignatas-Konovalovas,37,74,1.90,700,700,1324,400,180,18,47,29,25,25,85,224,95,315,133,66,60,83,201,284,204,72,59,3,,,
117,Unclassified,4,Alexander Konychev,,Alexander-Konychev,24,76,1.85,155,155,37,82,23,5,30,25,49,75,,,,,,,,,,,,,,,,,
118,Unclassified,4,Alexander Krieger,,Alexander-Krieger,31,71,1.84,693,693,167,989,306,10,50,78,267,44,303,136,32,29,112,,21,12,,,,,,,,,
119,Unclassified,4,Paul Lapeira,,Paul-Lapeira,22,64,1.76,125,125,21,66,45,46,94,31,,5,,,,,,,,,,,,,,,,,
120,Unclassified,4,Senne Leysen,,Senne-Leysen,27,78,1.90,77,77,133,41,18,18,35,50,45,38,8,6,,11,,,,,,,,,,,,,
121,Unclassified,4,Fabian Lienhard,,Fabian-Lienhard,29,73,1.83,654,654,27,454,241,41,107,66,80,166,113,170,21,57,23,1,,,,,,,,,,,
122,Unclassified,4,Mirco Maestri,,Mirco-Maestri,31,73,1.82,176,176,83,274,142,78,54,32,,85,88,54,75,1,1,,,,,,,,,,,,
123,Unclassified,4,Filippo Magli,https://www.procyclingstats.com/rider/filippo-magli2,Filippo-Magli,,,,,,,,,52,,4,,1,,,,,,,,,,,,,,,,,
124,Unclassified,4,Martin Marcellusi,,Martin-Marcellusi,23,62,1.72,112,112,3,25,139,57,48,7,5,10,,,,,,,,,,,,,,,,,
125,Unclassified,4,Niklas Märkl,,Niklas-Markl,24,70,1.85,123,123,45,148,12,14,36,81,7,28,2,,,,,,,,,,,,,,,,
126,Unclassified,4,Anton Palzer,,Anton-Palzer,30,62,1.78,5,5,0,0,1,15,20,25,,,,,,,,,,,,,,,,,,,
127,Unclassified,4,Valentin Paret-Peintre,,Valentin-Paret-Peintre,22,52,1.76,11,11,0,1,74,36,5,9,12,,,,,,,,,,,,,,,,,,
128,Unclassified,4,Simone Petilli,,Simone-Petilli,30,65,1.78,430,430,39,124,517,35,71,131,50,124,29,154,105,176,24,6,2,,,,,,,,,,
129,Unclassified,4,Lukas Pöstlberger,,Lukas-Postlberger,31,70,1.82,571,571,331,303,368,24,37,129,38,181,73,359,34,95,15,63,20,5,,,,,,,,,
130,Unclassified,4,Nicolas Prodhomme,,Nicolas-Prodhomme,26,62,1.74,38,38,8,12,182,18,54,73,2,45,15,,,,,,,,,,,,,,,,
131,Unclassified,4,Vadim Pronskiy,,Vadim-Pronskiy,24,58,1.73,41,41,48,17,336,10,135,87,48,173,39,35,,,,,,,,,,,,,,,
132,Unclassified,4,Salvatore Puccio,,Salvatore-Puccio,33,68,1.82,377,377,83,102,488,5,35,50,85,87,95,100,164,166,175,131,132,42,3,,,,,,,,
133,Unclassified,4,Charlie Quarterman,,Charlie-Quarterman,24,75,1.80,5,5,65,20,4,,6,15,10,1,,,,,,,,,,,,,,,,,
134,Unclassified,4,Laurenz Rex,,Laurenz-Rex,23,82,1.93,222,222,0,105,61,104,81,57,,,1,,,,,,,,,,,,,,,,
135,Unclassified,4,Michel Ries,,Michel-Ries,25,67,1.84,100,100,50,1,136,14,57,62,47,30,20,,,,,,,,,,,,,,,,
136,Unclassified,4,Alan Riou,,Alan-Riou,26,68,1.76,195,195,65,100,68,5,31,127,,18,6,41,1,,,,,,,,,,,,,,
137,Unclassified,4,Clément Russo,,Clement-Russo,28,73,1.86,388,388,42,282,96,56,119,157,31,213,34,35,,,,,,,,,,,,,,,
138,Unclassified,4, Callum Scotson,,Callum-Scotson,26,77,1.84,22,22,50,38,104,69,29,30,35,44,2,22,29,,,,,,,,,,,,,,
139,Unclassified,4,Pieter Serry,,Pieter-Serry,34,66,1.86,1089,1089,230,496,1110,40,49,64,75,193,382,114,227,243,296,258,257,93,25,,,,,,,,
140,Unclassified,4,Diego Pablo Sevilla,,Diego-Pablo-Sevilla,27,64,1.71,31,31,7,20,54,11,18,10,2,,11,,,,,,,,,,,,,,,,
141,Unclassified,4,Ramon Sinkeldam,,Ramon-Sinkeldam,34,77,1.93,869,869,72,1340,53,20,88,40,10,55,146,175,98,302,370,232,197,30,16,,,,,,,,
142,Unclassified,4,Campbell Stewart,,Campbell-Stewart,24,76,1.81,50,50,30,139,14,10,33,68,5,1,,,,,,,,,,,,,,,,,
143,Unclassified,4,Veljko Stojnić,,Veljko-Stojnic,24,73,1.87,22,22,132,59,40,1,24,12,45,17,15,,,,,,,,,,,,,,,,
144,Unclassified,4,Florian Stork,,Florian-Stork,26,65,1.84,47,47,7,13,92,20,31,9,32,44,8,,,,,,,,,,,,,,,,
145,Unclassified,4,Jasha Sütterlin,,Jasha-Sutterlin,30,78,1.84,340,340,995,170,297,5,91,21,125,165,144,260,174,129,40,54,14,35,,,,,,,,,
146,Unclassified,4,Albert Torres,,Albert-Torres,33,70,1.80,159,159,70,394,61,15,46,50,60,,53,62,47,10,6,,,,,,,,,,,,
147,Unclassified,4,Hugo Toumire,,Hugo-Toumire,21,69,1.80,12,12,0,4,29,5,31,20,,,,,,,,,,,,,,,,,,,
148,Unclassified,4,Martijn Tusveld,,Martijn-Tusveld,29,70,1.87,148,148,313,110,362,25,121,68,64,164,107,75,96,23,10,4,22,,,,,,,,,,
149,Unclassified,4,Karel Vacek,,Karel-Vacek,22,60,1.78,55,55,0,0,20,,6,,,4,,,,,,,,,,,,,,,,,
150,Unclassified,4,Lars Van Den Berg,,Lars-Van-Den-Berg,24,72,1.85,72,72,30,22,96,15,10,72,7,6,16,9,,,,,,,,,,,,,,,
151,Unclassified,4,Otto Vergaerde,,Otto-Vergaerde,28,74,1.80,189,189,12,74,47,5,76,20,40,122,,,11,,1,,,,,,,,,,,,
152,Unclassified,4,Alessandro Verre,,Alessandro-Verre,21,59,1.70,69,69,1,15,91,24,57,13,,,,,,,,,,,,,,,,,,,
153,Unclassified,4,Larry Warbasse,https://www.procyclingstats.com/rider/lawrence-warbasse,Larry-Warbasse,32,67,1.83,248,248,317,20,633,30,28,71,167,142,104,156,166,136,71,30,12,21,,,,,,,,,
154,Unclassified,4,Stephen Williams,,Stephen-Williams,26,59,1.83,120,120,5,68,291,55,79,184,5,,53,16,15,,,,,,,,,,,,,,
155,Unclassified,4,Mads Würtz Schmidt,,Mads-Wurtz-Schmidt,29,70,1.76,365,365,598,358,318,39,65,203,59,136,153,161,205,146,16,,,,,,,,,,,,
156,Unclassified,4,Samuele Zoccarato,,Samuele-Zoccarato,25,74,1.83,128,128,0,6,96,69,45,54,1,3,19,,,,,,,,,,,,,,,,
157,Sprinter,14,Mads Pedersen,,Mads-Pedersen,27,70,1.79,2552,2552,1195,2043,1280,676,1500,645,775,529,642,404,155,120,15,,,,,,,,,,,,
158,Sprinter,10,Pascal Ackermann,,Pascal-Ackermann,29,78,1.80,3214,3214,66,3443,1141,156,486,785,964,1912,1244,138,200,86,1,4,,,,,,,,,,,
159,Sprinter,10,Fernando Gaviria,,Fernando-Gaviria,28,71,1.80,1723,1723,77,4020,1138,311,463,424,395,849,699,1311,822,142,2,,,,,,,,,,,,
160,Sprinter,10,  Michael Matthews,,Michael-Matthews,32,72,1.78,6450,6450,1602,3244,6457,208,1163,921,656,1102,1441,1728,1156,1227,916,468,379,546,289,55,,,,,,,
161,Sprinter,8,Mark Cavendish,,Mark-Cavendish,37,70,1.75,3063,3063,712,13043,1227,96,571,1112,15,37,174,255,1263,959,614,1868,1257,1607,1461,1843,1194,753,166,42,,,
162,Sprinter,8,Simone Consonni,,Simone-Consonni,28,60,1.65,1376,1376,25,1156,882,99,617,278,180,382,367,359,78,109,10,,,,,,,,,,,,
163,Sprinter,8,Alberto Dainese,,Alberto-Dainese,25,70,1.76,558,558,7,1128,292,60,434,418,145,203,74,,,,,,,,,,,,,,,,
164,Sprinter,8,Kaden Groves,,Kaden-Groves,24,76,1.76,199,199,357,880,538,230,484,82,130,99,168,29,,,,,,,,,,,,,,,
165,Sprinter,8,Max Kanter,,Max-Kanter,25,68,1.76,425,425,32,834,334,56,438,86,153,17,148,25,51,,,,,,,,,,,,,,
166,Sprinter,8,Jonathan Milan,,Jonathan-Milan,22,84,1.94,58,58,72,228,118,93,153,27,11,22,,,,,,,,,,,,,,,,,
167,Sprinter,6, Vincenzo Albanese,,Vincenzo-Albanese,26,70,1.75,551,551,50,372,900,115,521,274,36,15,30,45,144,,,,,,,,,,,,,,
168,Sprinter,6,Davide Ballerini,,Davide-Ballerini,28,77,1.83,1441,1441,133,852,880,228,281,497,334,313,460,79,7,9,22,,,,,,,,,,,,
169,Sprinter,6,Davide Cimolai,,Davide-Cimolai,33,70,1.82,978,978,6,1322,1114,20,92,224,101,577,77,188,176,442,195,290,94,47,117,45,,,,,,,
170,Sprinter,6,Nicolas Dalla Valle,,Nicolas-Dalla-Valle,,,,,,,,,11,81,5,,7,7,,,,,,,,,,,,,,,,
171,Sprinter,6,David Dekker,,David-Dekker,25,80,1.90,137,137,73,334,47,43,10,120,70,24,,,,,,,,,,,,,,,,,
172,Sprinter,6,Filippo Fiorelli,,Filippo-Fiorelli,,,,,,,,,110,250,219,81,41,,,9,7,,,,,,,,,,,,,
173,Sprinter,6, Arne Marit,,Arne-Marit,24,72,1.85,445,445,3,375,100,27,98,330,8,25,5,,,,,,,,,,,,,,,,
174,Sprinter,6, Marius Mayrhofer,,Marius-Mayrhofer,22,70,1.82,265,265,78,70,152,260,7,39,2,2,,,,,,,,,,,,,,,,,
175,Sprinter,6, Andrea Vendrame,,Andrea-Vendrame,28,60,1.68,1419,1419,102,398,1760,190,315,332,435,639,171,182,62,19,,,,,,,,,,,,,
